0,1,2,3,4,5
2022-05-01 01:00:00,17.85,18.02,17.83,18.0,35507.8
2022-05-01 01:05:00,18.0,18.08,17.95,18.07,23027.67
2022-05-01 01:10:00,18.07,18.11,18.01,18.06,15285.89
2022-05-01 01:15:00,18.06,18.09,18.05,18.08,14799.76
2022-05-01 01:20:00,18.07,18.11,17.98,18.02,12578.12
2022-05-01 01:25:00,18.02,18.02,17.91,17.91,7346.17
2022-05-01 01:30:00,17.92,18.07,17.78,18.01,41463.58
2022-05-01 01:35:00,18.01,18.21,17.98,18.18,31444.74
2022-05-01 01:40:00,18.19,18.25,18.09,18.11,13268.04
2022-05-01 01:45:00,18.1,18.1,18.0,18.02,11681.77
2022-05-01 01:50:00,18.02,18.03,17.94,18.02,8546.66
2022-05-01 01:55:00,18.02,18.04,17.95,17.98,7553.13
2022-05-01 02:00:00,17.98,18.1,17.93,18.06,11731.11
2022-05-01 02:05:00,18.05,18.05,17.95,17.99,7826.01
2022-05-01 02:10:00,17.99,18.06,17.96,17.97,9286.87
2022-05-01 02:15:00,17.98,17.99,17.93,17.96,8618.67
2022-05-01 02:20:00,17.95,17.98,17.86,17.86,8441.48
2022-05-01 02:25:00,17.86,17.91,17.82,17.89,11887.5
2022-05-01 02:30:00,17.88,17.91,17.8,17.87,10185.29
2022-05-01 02:35:00,17.86,17.99,17.74,17.96,21018.82
2022-05-01 02:40:00,17.95,18.26,17.94,18.23,41076.26
2022-05-01 02:45:00,18.23,18.34,18.18,18.32,28177.83
2022-05-01 02:50:00,18.32,18.43,18.32,18.39,40126.17
2022-05-01 02:55:00,18.39,18.39,18.26,18.31,10034.72
2022-05-01 03:00:00,18.3,18.33,18.25,18.3,10510.93
2022-05-01 03:05:00,18.29,18.29,18.23,18.28,8555.58
2022-05-01 03:10:00,18.29,18.33,18.27,18.32,12374.05
2022-05-01 03:15:00,18.31,18.34,18.27,18.34,6874.38
2022-05-01 03:20:00,18.33,18.34,18.27,18.27,7393.48
2022-05-01 03:25:00,18.27,18.28,18.22,18.24,4800.07
2022-05-01 03:30:00,18.24,18.25,18.17,18.18,6145.27
2022-05-01 03:35:00,18.17,18.21,18.14,18.14,3735.7
2022-05-01 03:40:00,18.14,18.17,18.09,18.12,7789.11
2022-05-01 03:45:00,18.1,18.14,18.1,18.13,3171.34
2022-05-01 03:50:00,18.13,18.14,18.07,18.12,3980.11
2022-05-01 03:55:00,18.12,18.13,18.1,18.11,3287.51
2022-05-01 04:00:00,18.11,18.14,18.09,18.14,4942.25
2022-05-01 04:05:00,18.13,18.28,18.12,18.23,4677.56
2022-05-01 04:10:00,18.23,18.25,18.22,18.23,2337.01
2022-05-01 04:15:00,18.22,18.22,18.17,18.2,7091.2
2022-05-01 04:20:00,18.21,18.28,18.2,18.28,4248.38
2022-05-01 04:25:00,18.28,18.35,18.26,18.34,7807.15
2022-05-01 04:30:00,18.34,18.34,18.28,18.32,7613.19
2022-05-01 04:35:00,18.33,18.33,18.26,18.26,3227.6
2022-05-01 04:40:00,18.26,18.27,18.24,18.26,3666.46
2022-05-01 04:45:00,18.26,18.3,18.24,18.3,4396.39
2022-05-01 04:50:00,18.3,18.36,18.28,18.35,3622.45
2022-05-01 04:55:00,18.35,18.36,18.31,18.33,4076.02
2022-05-01 05:00:00,18.32,18.39,18.32,18.38,9197.65
2022-05-01 05:05:00,18.38,18.38,18.33,18.35,4075.64
2022-05-01 05:10:00,18.36,18.36,18.23,18.24,7405.88
2022-05-01 05:15:00,18.25,18.28,18.22,18.23,5057.6
2022-05-01 05:20:00,18.23,18.25,18.18,18.21,3816.09
2022-05-01 05:25:00,18.21,18.22,18.18,18.21,3269.92
2022-05-01 05:30:00,18.2,18.21,18.17,18.17,5348.32
2022-05-01 05:35:00,18.17,18.2,18.15,18.16,5406.1
2022-05-01 05:40:00,18.17,18.18,18.13,18.13,3910.41
2022-05-01 05:45:00,18.12,18.15,18.11,18.11,2427.07
2022-05-01 05:50:00,18.1,18.11,18.08,18.1,3782.46
2022-05-01 05:55:00,18.09,18.15,18.09,18.13,3328.72
2022-05-01 06:00:00,18.14,18.31,18.14,18.3,11520.35
2022-05-01 06:05:00,18.3,18.33,18.26,18.33,9454.06
2022-05-01 06:10:00,18.33,18.52,18.33,18.51,35897.88
2022-05-01 06:15:00,18.51,18.58,18.44,18.45,32748.13
2022-05-01 06:20:00,18.46,18.51,18.45,18.47,13091.11
2022-05-01 06:25:00,18.47,18.54,18.42,18.53,12548.47
2022-05-01 06:30:00,18.54,18.62,18.45,18.45,19749.47
2022-05-01 06:35:00,18.45,18.5,18.44,18.48,10180.2
2022-05-01 06:40:00,18.49,18.53,18.47,18.52,7217.51
2022-05-01 06:45:00,18.53,18.55,18.49,18.53,10441.56
2022-05-01 06:50:00,18.52,18.54,18.5,18.5,4280.97
2022-05-01 06:55:00,18.5,18.54,18.5,18.52,29734.3
2022-05-01 07:00:00,18.53,18.59,18.48,18.58,11752.23
2022-05-01 07:05:00,18.59,18.68,18.59,18.61,25559.93
2022-05-01 07:10:00,18.61,18.61,18.47,18.47,19205.29
2022-05-01 07:15:00,18.47,18.5,18.46,18.5,2824.2
2022-05-01 07:20:00,18.49,18.52,18.48,18.51,6651.21
2022-05-01 07:25:00,18.52,18.55,18.5,18.52,4954.46
2022-05-01 07:30:00,18.52,18.53,18.45,18.49,14823.52
2022-05-01 07:35:00,18.5,18.53,18.47,18.5,6685.0
2022-05-01 07:40:00,18.5,18.52,18.45,18.46,12161.67
2022-05-01 07:45:00,18.45,18.48,18.45,18.48,3244.19
2022-05-01 07:50:00,18.48,18.48,18.4,18.41,3567.06
2022-05-01 07:55:00,18.4,18.43,18.38,18.42,5454.1
2022-05-01 08:00:00,18.42,18.46,18.39,18.44,5355.95
2022-05-01 08:05:00,18.44,18.45,18.39,18.39,2145.79
2022-05-01 08:10:00,18.39,18.42,18.31,18.35,33560.23
2022-05-01 08:15:00,18.36,18.36,18.32,18.34,3192.9
2022-05-01 08:20:00,18.33,18.35,18.3,18.3,4223.73
2022-05-01 08:25:00,18.31,18.35,18.3,18.33,6771.52
2022-05-01 08:30:00,18.32,18.34,18.3,18.31,2513.3
2022-05-01 08:35:00,18.32,18.39,18.3,18.37,38285.79
2022-05-01 08:40:00,18.37,18.37,18.31,18.31,6773.24
2022-05-01 08:45:00,18.31,18.33,18.3,18.31,3268.67
2022-05-01 08:50:00,18.32,18.33,18.24,18.25,7096.2
2022-05-01 08:55:00,18.25,18.3,18.21,18.3,7202.13
2022-05-01 09:00:00,18.3,18.36,18.25,18.3,24955.29
2022-05-01 09:05:00,18.3,18.41,18.3,18.36,7842.48
2022-05-01 09:10:00,18.37,18.47,18.36,18.45,10193.34
2022-05-01 09:15:00,18.45,18.53,18.42,18.49,13379.8
2022-05-01 09:20:00,18.5,18.52,18.41,18.44,3483.3
2022-05-01 09:25:00,18.45,18.45,18.39,18.39,3245.8
2022-05-01 09:30:00,18.39,18.45,18.38,18.44,3819.8
2022-05-01 09:35:00,18.45,18.48,18.37,18.38,2798.84
2022-05-01 09:40:00,18.38,18.41,18.36,18.41,4119.4
2022-05-01 09:45:00,18.41,18.44,18.38,18.44,4183.67
2022-05-01 09:50:00,18.45,18.53,18.44,18.5,3190.78
2022-05-01 09:55:00,18.5,18.51,18.47,18.47,3086.86
2022-05-01 10:00:00,18.47,18.5,18.47,18.49,2708.28
2022-05-01 10:05:00,18.49,18.49,18.43,18.45,2110.78
2022-05-01 10:10:00,18.45,18.47,18.36,18.38,3277.76
2022-05-01 10:15:00,18.39,18.41,18.35,18.36,3792.36
2022-05-01 10:20:00,18.37,18.39,18.36,18.38,1477.11
2022-05-01 10:25:00,18.37,18.45,18.36,18.41,15661.42
2022-05-01 10:30:00,18.41,18.41,18.34,18.36,2819.61
2022-05-01 10:35:00,18.37,18.38,18.29,18.33,12834.01
2022-05-01 10:40:00,18.33,18.33,18.29,18.31,4102.44
2022-05-01 10:45:00,18.3,18.31,18.26,18.29,7257.45
2022-05-01 10:50:00,18.29,18.35,18.28,18.3,5660.12
2022-05-01 10:55:00,18.3,18.34,18.3,18.32,5596.3
