0,1,2,3,4,5
2021-11-03 00:00:00,67.75,67.79,67.38,67.43,15203.08
2021-11-03 00:15:00,67.42,67.46,67.09,67.15,9707.59
2021-11-03 00:30:00,67.15,67.61,67.14,67.59,14082.24
2021-11-03 00:45:00,67.59,68.09,67.43,68.05,16839.87
2021-11-03 01:00:00,68.05,68.43,67.85,68.17,33787.95
2021-11-03 01:15:00,68.16,68.47,67.85,68.17,27258.8
2021-11-03 01:30:00,68.17,68.84,68.11,68.77,63837.4
2021-11-03 01:45:00,68.77,69.75,68.74,69.7,96957.68
2021-11-03 02:00:00,69.71,69.88,69.26,69.43,109209.49
2021-11-03 02:15:00,69.46,70.0,69.27,69.33,53655.83
2021-11-03 02:30:00,69.33,70.04,69.33,69.94,70292.97
2021-11-03 02:45:00,69.94,70.91,69.93,70.88,75661.57
2021-11-03 03:00:00,70.87,71.97,70.54,71.31,133294.6
2021-11-03 03:15:00,71.3,71.3,70.32,70.37,43242.94
2021-11-03 03:30:00,70.38,70.78,69.98,70.07,80392.6
2021-11-03 03:45:00,70.06,70.64,69.96,70.64,37340.2
2021-11-03 04:00:00,70.64,71.19,70.37,70.96,34954.03
2021-11-03 04:15:00,70.96,71.33,70.42,71.14,72962.37
2021-11-03 04:30:00,71.13,71.4,70.3,70.37,48304.91
2021-11-03 04:45:00,70.36,70.49,70.06,70.07,30018.48
2021-11-03 05:00:00,70.09,70.75,70.05,70.68,34115.38
2021-11-03 05:15:00,70.68,70.92,70.09,70.22,34777.13
2021-11-03 05:30:00,70.22,70.68,70.17,70.67,18185.59
2021-11-03 05:45:00,70.66,70.72,70.41,70.49,20119.79
2021-11-03 06:00:00,70.48,71.41,70.38,71.16,58548.76
2021-11-03 06:15:00,71.15,71.55,70.85,71.39,44829.23
2021-11-03 06:30:00,71.4,71.89,71.35,71.61,57230.66
2021-11-03 06:45:00,71.6,71.96,71.23,71.49,42158.76
2021-11-03 07:00:00,71.49,72.0,71.31,71.8,32696.44
2021-11-03 07:15:00,71.8,72.0,71.49,71.51,38152.27
2021-11-03 07:30:00,71.51,71.52,70.74,70.74,43339.77
2021-11-03 07:45:00,70.75,71.15,70.46,71.13,50686.57
2021-11-03 08:00:00,71.1,71.27,70.94,71.1,27968.76
2021-11-03 08:15:00,71.1,71.13,70.5,70.57,22191.26
2021-11-03 08:30:00,70.58,70.83,70.31,70.71,19586.82
2021-11-03 08:45:00,70.69,70.92,70.6,70.79,14525.1
2021-11-03 09:00:00,70.8,71.02,70.62,71.0,24019.81
2021-11-03 09:15:00,71.01,71.5,70.97,71.46,32525.57
2021-11-03 09:30:00,71.46,71.57,71.15,71.4,37220.61
2021-11-03 09:45:00,71.39,72.0,71.25,71.89,40589.65
2021-11-03 10:00:00,71.89,72.17,71.48,71.59,68674.9
2021-11-03 10:15:00,71.56,72.65,71.55,72.58,70736.12
2021-11-03 10:30:00,72.59,72.6,71.85,72.16,54017.42
2021-11-03 10:45:00,72.18,72.31,71.78,71.96,40908.84
2021-11-03 11:00:00,71.97,72.02,71.45,71.46,31879.65
